,Datetime,Weekday,Part of the day,counts,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday
0,2017-01-01 02:00:00,Sunday,Night,1,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1.0
1,2017-01-01 04:00:00,Sunday,Night,1,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1.0
2,2017-01-01 06:00:00,Sunday,Morning,1,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1.0
3,2017-01-01 07:00:00,Sunday,Morning,2,41 F,36 F,81 %,NW,14 mph,0 mph,30.3 in,1.0
4,2017-01-01 10:00:00,Sunday,Morning,2,39 F,34 F,81 %,NW,13 mph,0 mph,30.3 in,1.0
5,2017-01-01 11:00:00,Sunday,Morning,1,43 F,34 F,70 %,NNW,15 mph,0 mph,30.3 in,1.0
6,2017-01-01 12:00:00,Sunday,Morning,2,45 F,36 F,71 %,NW,10 mph,0 mph,30.3 in,1.0
7,2017-01-01 13:00:00,Sunday,Morning,1,48 F,36 F,62 %,NW,9 mph,0 mph,30.3 in,1.0
8,2017-01-01 14:00:00,Sunday,Afternoon,1,50 F,39 F,66 %,WNW,8 mph,0 mph,30.2 in,1.0
9,2017-01-01 15:00:00,Sunday,Afternoon,2,52 F,39 F,62 %,W,3 mph,0 mph,30.2 in,1.0
10,2017-01-01 16:00:00,Sunday,Afternoon,2,54 F,45 F,72 %,NW,3 mph,0 mph,30.2 in,1.0
11,2017-01-01 17:00:00,Sunday,Afternoon,2,52 F,45 F,76 %,WSW,12 mph,0 mph,30.2 in,1.0
12,2017-01-01 19:00:00,Sunday,Afternoon,3,46 F,37 F,71 %,NW,6 mph,0 mph,30.2 in,1.0
13,2017-01-01 22:00:00,Sunday,Night,1,43 F,36 F,76 %,NW,9 mph,0 mph,30.2 in,1.0
14,2017-01-02 06:00:00,Monday,Morning,1,37 F,32 F,81 %,NNW,15 mph,0 mph,30.2 in,0.0
15,2017-01-02 07:00:00,Monday,Morning,1,37 F,32 F,81 %,NW,14 mph,0 mph,30.2 in,0.0
16,2017-01-02 09:00:00,Monday,Morning,1,37 F,32 F,81 %,NW,14 mph,0 mph,30.2 in,0.0
17,2017-01-02 10:00:00,Monday,Morning,2,41 F,32 F,70 %,NNW,15 mph,29 mph,30.2 in,0.0
18,2017-01-02 13:00:00,Monday,Morning,1,52 F,41 F,67 %,NW,3 mph,0 mph,30.2 in,0.0
19,2017-01-02 14:00:00,Monday,Afternoon,1,55 F,46 F,72 %,SW,15 mph,0 mph,30.1 in,0.0
20,2017-01-02 16:00:00,Monday,Afternoon,1,54 F,45 F,72 %,WSW,15 mph,0 mph,30.1 in,0.0
21,2017-01-02 17:00:00,Monday,Afternoon,2,52 F,41 F,67 %,W,14 mph,0 mph,30.1 in,0.0
22,2017-01-02 18:00:00,Monday,Afternoon,2,52 F,43 F,71 %,SW,13 mph,0 mph,30.1 in,0.0
23,2017-01-02 19:00:00,Monday,Afternoon,2,52 F,43 F,71 %,WSW,9 mph,0 mph,30.1 in,0.0
24,2017-01-02 20:00:00,Monday,Afternoon,1,50 F,43 F,76 %,NW,5 mph,16 mph,30.1 in,0.0
25,2017-01-02 22:00:00,Monday,Night,2,46 F,36 F,66 %,NNW,12 mph,23 mph,30.1 in,0.0
26,2017-01-02 23:00:00,Monday,Night,1,45 F,34 F,66 %,NNW,13 mph,0 mph,30.1 in,0.0
27,2017-01-03 00:00:00,Tuesday,Night,1,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,0.0
28,2017-01-03 05:00:00,Tuesday,Night,1,39 F,30 F,70 %,NW,17 mph,0 mph,30.1 in,0.0
29,2017-01-03 07:00:00,Tuesday,Morning,3,39 F,30 F,70 %,NW,15 mph,0 mph,30.2 in,0.0
30,2017-01-03 09:00:00,Tuesday,Morning,1,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,0.0
31,2017-01-03 11:00:00,Tuesday,Morning,4,45 F,34 F,66 %,NW,17 mph,0 mph,30.2 in,0.0
32,2017-01-03 12:00:00,Tuesday,Morning,5,46 F,36 F,66 %,NW,14 mph,0 mph,30.2 in,0.0
33,2017-01-03 13:00:00,Tuesday,Morning,2,50 F,37 F,62 %,NW,12 mph,25 mph,30.2 in,0.0
34,2017-01-03 14:00:00,Tuesday,Afternoon,3,50 F,39 F,66 %,NNW,8 mph,0 mph,30.2 in,0.0
35,2017-01-03 15:00:00,Tuesday,Afternoon,2,52 F,39 F,62 %,NW,6 mph,0 mph,30.2 in,0.0
36,2017-01-03 17:00:00,Tuesday,Afternoon,1,52 F,39 F,62 %,NW,5 mph,0 mph,30.2 in,0.0
37,2017-01-03 18:00:00,Tuesday,Afternoon,1,50 F,39 F,66 %,NNW,7 mph,0 mph,30.2 in,0.0
38,2017-01-03 19:00:00,Tuesday,Afternoon,2,48 F,39 F,71 %,NW,8 mph,0 mph,30.2 in,0.0
39,2017-01-03 21:00:00,Tuesday,Afternoon,2,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0.0
40,2017-01-03 23:00:00,Tuesday,Night,1,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,0.0
41,2017-01-04 08:00:00,Wednesday,Morning,2,45 F,37 F,76 %,NW,12 mph,0 mph,30.2 in,0.0
42,2017-01-04 10:00:00,Wednesday,Morning,3,46 F,37 F,71 %,NNW,14 mph,0 mph,30.2 in,0.0
43,2017-01-04 11:00:00,Wednesday,Morning,1,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,0.0
44,2017-01-04 12:00:00,Wednesday,Morning,2,52 F,39 F,62 %,NNW,10 mph,0 mph,30.2 in,0.0
45,2017-01-04 13:00:00,Wednesday,Morning,2,54 F,41 F,62 %,NW,7 mph,0 mph,30.2 in,0.0
46,2017-01-04 14:00:00,Wednesday,Afternoon,6,55 F,45 F,67 %,SW,5 mph,0 mph,30.1 in,0.0
47,2017-01-04 15:00:00,Wednesday,Afternoon,3,55 F,45 F,67 %,SSW,8 mph,0 mph,30.1 in,0.0
48,2017-01-04 16:00:00,Wednesday,Afternoon,1,55 F,45 F,67 %,SW,12 mph,0 mph,30.1 in,0.0
49,2017-01-04 17:00:00,Wednesday,Afternoon,2,55 F,41 F,58 %,NW,3 mph,0 mph,30.1 in,0.0
50,2017-01-04 19:00:00,Wednesday,Afternoon,2,48 F,36 F,62 %,NW,10 mph,0 mph,30.1 in,0.0
