,Unnamed: 0,Year,Month,District Name,Demand_occupation
0,0,2017,January,Ciutat Vella,Registered unemployed
1,1,2017,January,Ciutat Vella,Registered unemployed
2,2,2017,January,Ciutat Vella,Registered unemployed
3,3,2017,January,Ciutat Vella,Registered unemployed
4,4,2017,January,Eixample,Registered unemployed
5,5,2017,January,Eixample,Registered unemployed
6,6,2017,January,Eixample,Registered unemployed
7,7,2017,January,Eixample,Registered unemployed
8,8,2017,January,Eixample,Registered unemployed
9,9,2017,January,Eixample,Registered unemployed
10,10,2017,January,Sants-Montjuïc,Registered unemployed
11,11,2017,January,Sants-Montjuïc,Registered unemployed
12,12,2017,January,Sants-Montjuïc,Registered unemployed
13,13,2017,January,Sants-Montjuïc,Registered unemployed
14,14,2017,January,Sants-Montjuïc,Registered unemployed
15,15,2017,January,Sants-Montjuïc,Registered unemployed
16,16,2017,January,Sants-Montjuïc,Registered unemployed
17,17,2017,January,Sants-Montjuïc,Registered unemployed
18,18,2017,January,Les Corts,Registered unemployed
19,19,2017,January,Les Corts,Registered unemployed
20,20,2017,January,Les Corts,Registered unemployed
21,21,2017,January,Sarrià-Sant Gervasi,Registered unemployed
22,22,2017,January,Sarrià-Sant Gervasi,Registered unemployed
23,23,2017,January,Sarrià-Sant Gervasi,Registered unemployed
24,24,2017,January,Sarrià-Sant Gervasi,Registered unemployed
25,25,2017,January,Sarrià-Sant Gervasi,Registered unemployed
26,26,2017,January,Sarrià-Sant Gervasi,Registered unemployed
27,27,2017,January,Gràcia,Registered unemployed
28,28,2017,January,Gràcia,Registered unemployed
29,29,2017,January,Gràcia,Registered unemployed
30,30,2017,January,Gràcia,Registered unemployed
31,31,2017,January,Gràcia,Registered unemployed
32,32,2017,January,Horta-Guinardó,Registered unemployed
33,33,2017,January,Horta-Guinardó,Registered unemployed
34,34,2017,January,Horta-Guinardó,Registered unemployed
35,35,2017,January,Horta-Guinardó,Registered unemployed
36,36,2017,January,Horta-Guinardó,Registered unemployed
37,37,2017,January,Horta-Guinardó,Registered unemployed
38,38,2017,January,Horta-Guinardó,Registered unemployed
39,39,2017,January,Horta-Guinardó,Registered unemployed
40,40,2017,January,Horta-Guinardó,Registered unemployed
41,41,2017,January,Horta-Guinardó,Registered unemployed
42,42,2017,January,Horta-Guinardó,Registered unemployed
43,43,2017,January,Nou Barris,Registered unemployed
44,44,2017,January,Nou Barris,Registered unemployed
45,45,2017,January,Nou Barris,Registered unemployed
46,46,2017,January,Nou Barris,Registered unemployed
47,47,2017,January,Nou Barris,Registered unemployed
48,48,2017,January,Nou Barris,Registered unemployed
49,49,2017,January,Nou Barris,Registered unemployed
50,50,2017,January,Nou Barris,Registered unemployed
51,51,2017,January,Nou Barris,Registered unemployed
52,52,2017,January,Nou Barris,Registered unemployed
53,53,2017,January,Nou Barris,Registered unemployed
54,54,2017,January,Nou Barris,Registered unemployed
55,55,2017,January,Nou Barris,Registered unemployed
56,56,2017,January,Sant Andreu,Registered unemployed
57,57,2017,January,Sant Andreu,Registered unemployed
58,58,2017,January,Sant Andreu,Registered unemployed
59,59,2017,January,Sant Andreu,Registered unemployed
60,60,2017,January,Sant Andreu,Registered unemployed
61,61,2017,January,Sant Andreu,Registered unemployed
62,62,2017,January,Sant Andreu,Registered unemployed
63,63,2017,January,Sant Martí,Registered unemployed
64,64,2017,January,Sant Martí,Registered unemployed
65,65,2017,January,Sant Martí,Registered unemployed
66,66,2017,January,Sant Martí,Registered unemployed
67,67,2017,January,Sant Martí,Registered unemployed
68,68,2017,January,Sant Martí,Registered unemployed
69,69,2017,January,Sant Martí,Registered unemployed
70,70,2017,January,Sant Martí,Registered unemployed
71,71,2017,January,Sant Martí,Registered unemployed
72,72,2017,January,Sant Martí,Registered unemployed
73,73,2017,January,No consta,Registered unemployed
74,148,2017,January,Ciutat Vella,Registered unemployed
75,149,2017,January,Ciutat Vella,Registered unemployed
76,150,2017,January,Ciutat Vella,Registered unemployed
77,151,2017,January,Ciutat Vella,Registered unemployed
78,152,2017,January,Eixample,Registered unemployed
79,153,2017,January,Eixample,Registered unemployed
80,154,2017,January,Eixample,Registered unemployed
81,155,2017,January,Eixample,Registered unemployed
82,156,2017,January,Eixample,Registered unemployed
83,157,2017,January,Eixample,Registered unemployed
84,158,2017,January,Sants-Montjuïc,Registered unemployed
85,159,2017,January,Sants-Montjuïc,Registered unemployed
86,160,2017,January,Sants-Montjuïc,Registered unemployed
87,161,2017,January,Sants-Montjuïc,Registered unemployed
88,162,2017,January,Sants-Montjuïc,Registered unemployed
89,163,2017,January,Sants-Montjuïc,Registered unemployed
90,164,2017,January,Sants-Montjuïc,Registered unemployed
91,165,2017,January,Sants-Montjuïc,Registered unemployed
92,166,2017,January,Les Corts,Registered unemployed
93,167,2017,January,Les Corts,Registered unemployed
94,168,2017,January,Les Corts,Registered unemployed
95,169,2017,January,Sarrià-Sant Gervasi,Registered unemployed
96,170,2017,January,Sarrià-Sant Gervasi,Registered unemployed
97,171,2017,January,Sarrià-Sant Gervasi,Registered unemployed
98,172,2017,January,Sarrià-Sant Gervasi,Registered unemployed
99,173,2017,January,Sarrià-Sant Gervasi,Registered unemployed
100,174,2017,January,Sarrià-Sant Gervasi,Registered unemployed
101,175,2017,January,Gràcia,Registered unemployed
102,176,2017,January,Gràcia,Registered unemployed
103,177,2017,January,Gràcia,Registered unemployed
104,178,2017,January,Gràcia,Registered unemployed
105,179,2017,January,Gràcia,Registered unemployed
106,180,2017,January,Horta-Guinardó,Registered unemployed
107,181,2017,January,Horta-Guinardó,Registered unemployed
108,182,2017,January,Horta-Guinardó,Registered unemployed
109,183,2017,January,Horta-Guinardó,Registered unemployed
110,184,2017,January,Horta-Guinardó,Registered unemployed
111,185,2017,January,Horta-Guinardó,Registered unemployed
112,186,2017,January,Horta-Guinardó,Registered unemployed
113,187,2017,January,Horta-Guinardó,Registered unemployed
114,188,2017,January,Horta-Guinardó,Registered unemployed
115,189,2017,January,Horta-Guinardó,Registered unemployed
116,190,2017,January,Horta-Guinardó,Registered unemployed
117,191,2017,January,Nou Barris,Registered unemployed
118,192,2017,January,Nou Barris,Registered unemployed
119,193,2017,January,Nou Barris,Registered unemployed
120,194,2017,January,Nou Barris,Registered unemployed
121,195,2017,January,Nou Barris,Registered unemployed
122,196,2017,January,Nou Barris,Registered unemployed
123,197,2017,January,Nou Barris,Registered unemployed
124,198,2017,January,Nou Barris,Registered unemployed
125,199,2017,January,Nou Barris,Registered unemployed
126,200,2017,January,Nou Barris,Registered unemployed
127,201,2017,January,Nou Barris,Registered unemployed
128,202,2017,January,Nou Barris,Registered unemployed
129,203,2017,January,Nou Barris,Registered unemployed
130,204,2017,January,Sant Andreu,Registered unemployed
131,205,2017,January,Sant Andreu,Registered unemployed
132,206,2017,January,Sant Andreu,Registered unemployed
133,207,2017,January,Sant Andreu,Registered unemployed
134,208,2017,January,Sant Andreu,Registered unemployed
135,209,2017,January,Sant Andreu,Registered unemployed
136,210,2017,January,Sant Andreu,Registered unemployed
137,211,2017,January,Sant Martí,Registered unemployed
138,212,2017,January,Sant Martí,Registered unemployed
139,213,2017,January,Sant Martí,Registered unemployed
140,214,2017,January,Sant Martí,Registered unemployed
141,215,2017,January,Sant Martí,Registered unemployed
142,216,2017,January,Sant Martí,Registered unemployed
143,217,2017,January,Sant Martí,Registered unemployed
144,218,2017,January,Sant Martí,Registered unemployed
145,219,2017,January,Sant Martí,Registered unemployed
146,220,2017,January,Sant Martí,Registered unemployed
147,221,2017,January,No consta,Registered unemployed
148,296,2017,February,Ciutat Vella,Registered unemployed
149,297,2017,February,Ciutat Vella,Registered unemployed
150,298,2017,February,Ciutat Vella,Registered unemployed
151,299,2017,February,Ciutat Vella,Registered unemployed
152,300,2017,February,Eixample,Registered unemployed
153,301,2017,February,Eixample,Registered unemployed
154,302,2017,February,Eixample,Registered unemployed
155,303,2017,February,Eixample,Registered unemployed
156,304,2017,February,Eixample,Registered unemployed
157,305,2017,February,Eixample,Registered unemployed
158,306,2017,February,Sants-Montjuïc,Registered unemployed
159,307,2017,February,Sants-Montjuïc,Registered unemployed
160,308,2017,February,Sants-Montjuïc,Registered unemployed
161,309,2017,February,Sants-Montjuïc,Registered unemployed
162,310,2017,February,Sants-Montjuïc,Registered unemployed
163,311,2017,February,Sants-Montjuïc,Registered unemployed
164,312,2017,February,Sants-Montjuïc,Registered unemployed
165,313,2017,February,Sants-Montjuïc,Registered unemployed
166,314,2017,February,Les Corts,Registered unemployed
167,315,2017,February,Les Corts,Registered unemployed
168,316,2017,February,Les Corts,Registered unemployed
169,317,2017,February,Sarrià-Sant Gervasi,Registered unemployed
170,318,2017,February,Sarrià-Sant Gervasi,Registered unemployed
171,319,2017,February,Sarrià-Sant Gervasi,Registered unemployed
172,320,2017,February,Sarrià-Sant Gervasi,Registered unemployed
173,321,2017,February,Sarrià-Sant Gervasi,Registered unemployed
174,322,2017,February,Sarrià-Sant Gervasi,Registered unemployed
175,323,2017,February,Gràcia,Registered unemployed
176,324,2017,February,Gràcia,Registered unemployed
177,325,2017,February,Gràcia,Registered unemployed
178,326,2017,February,Gràcia,Registered unemployed
179,327,2017,February,Gràcia,Registered unemployed
180,328,2017,February,Horta-Guinardó,Registered unemployed
181,329,2017,February,Horta-Guinardó,Registered unemployed
182,330,2017,February,Horta-Guinardó,Registered unemployed
183,331,2017,February,Horta-Guinardó,Registered unemployed
184,332,2017,February,Horta-Guinardó,Registered unemployed
185,333,2017,February,Horta-Guinardó,Registered unemployed
186,334,2017,February,Horta-Guinardó,Registered unemployed
187,335,2017,February,Horta-Guinardó,Registered unemployed
188,336,2017,February,Horta-Guinardó,Registered unemployed
189,337,2017,February,Horta-Guinardó,Registered unemployed
190,338,2017,February,Horta-Guinardó,Registered unemployed
191,339,2017,February,Nou Barris,Registered unemployed
192,340,2017,February,Nou Barris,Registered unemployed
193,341,2017,February,Nou Barris,Registered unemployed
194,342,2017,February,Nou Barris,Registered unemployed
195,343,2017,February,Nou Barris,Registered unemployed
196,344,2017,February,Nou Barris,Registered unemployed
197,345,2017,February,Nou Barris,Registered unemployed
198,346,2017,February,Nou Barris,Registered unemployed
199,347,2017,February,Nou Barris,Registered unemployed
200,348,2017,February,Nou Barris,Registered unemployed
201,349,2017,February,Nou Barris,Registered unemployed
202,350,2017,February,Nou Barris,Registered unemployed
203,351,2017,February,Nou Barris,Registered unemployed
204,352,2017,February,Sant Andreu,Registered unemployed
205,353,2017,February,Sant Andreu,Registered unemployed
206,354,2017,February,Sant Andreu,Registered unemployed
207,355,2017,February,Sant Andreu,Registered unemployed
208,356,2017,February,Sant Andreu,Registered unemployed
209,357,2017,February,Sant Andreu,Registered unemployed
210,358,2017,February,Sant Andreu,Registered unemployed
211,359,2017,February,Sant Martí,Registered unemployed
212,360,2017,February,Sant Martí,Registered unemployed
213,361,2017,February,Sant Martí,Registered unemployed
214,362,2017,February,Sant Martí,Registered unemployed
215,363,2017,February,Sant Martí,Registered unemployed
216,364,2017,February,Sant Martí,Registered unemployed
217,365,2017,February,Sant Martí,Registered unemployed
218,366,2017,February,Sant Martí,Registered unemployed
219,367,2017,February,Sant Martí,Registered unemployed
220,368,2017,February,Sant Martí,Registered unemployed
221,369,2017,February,No consta,Registered unemployed
222,444,2017,February,Ciutat Vella,Registered unemployed
223,445,2017,February,Ciutat Vella,Registered unemployed
224,446,2017,February,Ciutat Vella,Registered unemployed
225,447,2017,February,Ciutat Vella,Registered unemployed
226,448,2017,February,Eixample,Registered unemployed
227,449,2017,February,Eixample,Registered unemployed
228,450,2017,February,Eixample,Registered unemployed
229,451,2017,February,Eixample,Registered unemployed
230,452,2017,February,Eixample,Registered unemployed
231,453,2017,February,Eixample,Registered unemployed
232,454,2017,February,Sants-Montjuïc,Registered unemployed
233,455,2017,February,Sants-Montjuïc,Registered unemployed
234,456,2017,February,Sants-Montjuïc,Registered unemployed
235,457,2017,February,Sants-Montjuïc,Registered unemployed
236,458,2017,February,Sants-Montjuïc,Registered unemployed
237,459,2017,February,Sants-Montjuïc,Registered unemployed
238,460,2017,February,Sants-Montjuïc,Registered unemployed
239,461,2017,February,Sants-Montjuïc,Registered unemployed
240,462,2017,February,Les Corts,Registered unemployed
241,463,2017,February,Les Corts,Registered unemployed
242,464,2017,February,Les Corts,Registered unemployed
243,465,2017,February,Sarrià-Sant Gervasi,Registered unemployed
244,466,2017,February,Sarrià-Sant Gervasi,Registered unemployed
245,467,2017,February,Sarrià-Sant Gervasi,Registered unemployed
246,468,2017,February,Sarrià-Sant Gervasi,Registered unemployed
247,469,2017,February,Sarrià-Sant Gervasi,Registered unemployed
248,470,2017,February,Sarrià-Sant Gervasi,Registered unemployed
249,471,2017,February,Gràcia,Registered unemployed
250,472,2017,February,Gràcia,Registered unemployed
251,473,2017,February,Gràcia,Registered unemployed
252,474,2017,February,Gràcia,Registered unemployed
253,475,2017,February,Gràcia,Registered unemployed
254,476,2017,February,Horta-Guinardó,Registered unemployed
255,477,2017,February,Horta-Guinardó,Registered unemployed
256,478,2017,February,Horta-Guinardó,Registered unemployed
257,479,2017,February,Horta-Guinardó,Registered unemployed
258,480,2017,February,Horta-Guinardó,Registered unemployed
259,481,2017,February,Horta-Guinardó,Registered unemployed
260,482,2017,February,Horta-Guinardó,Registered unemployed
261,483,2017,February,Horta-Guinardó,Registered unemployed
262,484,2017,February,Horta-Guinardó,Registered unemployed
263,485,2017,February,Horta-Guinardó,Registered unemployed
264,486,2017,February,Horta-Guinardó,Registered unemployed
265,487,2017,February,Nou Barris,Registered unemployed
266,488,2017,February,Nou Barris,Registered unemployed
267,489,2017,February,Nou Barris,Registered unemployed
268,490,2017,February,Nou Barris,Registered unemployed
269,491,2017,February,Nou Barris,Registered unemployed
270,492,2017,February,Nou Barris,Registered unemployed
271,493,2017,February,Nou Barris,Registered unemployed
272,494,2017,February,Nou Barris,Registered unemployed
273,495,2017,February,Nou Barris,Registered unemployed
274,496,2017,February,Nou Barris,Registered unemployed
275,497,2017,February,Nou Barris,Registered unemployed
276,498,2017,February,Nou Barris,Registered unemployed
