,Datetime,Weekday,Part of the day
0,2017-01-01 02:00:00,Sunday,Night
1,2017-01-01 04:00:00,Sunday,Night
2,2017-01-01 06:00:00,Sunday,Morning
3,2017-01-01 07:00:00,Sunday,Morning
4,2017-01-01 10:00:00,Sunday,Morning
5,2017-01-01 11:00:00,Sunday,Morning
6,2017-01-01 12:00:00,Sunday,Morning
7,2017-01-01 13:00:00,Sunday,Morning
8,2017-01-01 14:00:00,Sunday,Afternoon
9,2017-01-01 15:00:00,Sunday,Afternoon
10,2017-01-01 16:00:00,Sunday,Afternoon
11,2017-01-01 17:00:00,Sunday,Afternoon
12,2017-01-01 19:00:00,Sunday,Afternoon
13,2017-01-01 22:00:00,Sunday,Night
14,2017-01-02 06:00:00,Monday,Morning
15,2017-01-02 07:00:00,Monday,Morning
16,2017-01-02 09:00:00,Monday,Morning
17,2017-01-02 10:00:00,Monday,Morning
18,2017-01-02 13:00:00,Monday,Morning
19,2017-01-02 14:00:00,Monday,Afternoon
20,2017-01-02 16:00:00,Monday,Afternoon
21,2017-01-02 17:00:00,Monday,Afternoon
22,2017-01-02 18:00:00,Monday,Afternoon
23,2017-01-02 19:00:00,Monday,Afternoon
24,2017-01-02 20:00:00,Monday,Afternoon
25,2017-01-02 22:00:00,Monday,Night
26,2017-01-02 23:00:00,Monday,Night
27,2017-01-03 00:00:00,Tuesday,Night
28,2017-01-03 05:00:00,Tuesday,Night
29,2017-01-03 07:00:00,Tuesday,Morning
30,2017-01-03 09:00:00,Tuesday,Morning
31,2017-01-03 11:00:00,Tuesday,Morning
32,2017-01-03 12:00:00,Tuesday,Morning
33,2017-01-03 13:00:00,Tuesday,Morning
34,2017-01-03 14:00:00,Tuesday,Afternoon
35,2017-01-03 15:00:00,Tuesday,Afternoon
36,2017-01-03 17:00:00,Tuesday,Afternoon
37,2017-01-03 18:00:00,Tuesday,Afternoon
38,2017-01-03 19:00:00,Tuesday,Afternoon
39,2017-01-03 21:00:00,Tuesday,Afternoon
40,2017-01-03 23:00:00,Tuesday,Night
41,2017-01-04 08:00:00,Wednesday,Morning
42,2017-01-04 10:00:00,Wednesday,Morning
43,2017-01-04 11:00:00,Wednesday,Morning
44,2017-01-04 12:00:00,Wednesday,Morning
45,2017-01-04 13:00:00,Wednesday,Morning
46,2017-01-04 14:00:00,Wednesday,Afternoon
47,2017-01-04 15:00:00,Wednesday,Afternoon
48,2017-01-04 16:00:00,Wednesday,Afternoon
49,2017-01-04 17:00:00,Wednesday,Afternoon
50,2017-01-04 19:00:00,Wednesday,Afternoon
51,2017-01-04 21:00:00,Wednesday,Afternoon
52,2017-01-04 22:00:00,Wednesday,Night
53,2017-01-05 02:00:00,Thursday,Night
54,2017-01-05 04:00:00,Thursday,Night
55,2017-01-05 05:00:00,Thursday,Night
56,2017-01-05 06:00:00,Thursday,Morning
57,2017-01-05 07:00:00,Thursday,Morning
58,2017-01-05 08:00:00,Thursday,Morning
59,2017-01-05 09:00:00,Thursday,Morning
60,2017-01-05 10:00:00,Thursday,Morning
61,2017-01-05 11:00:00,Thursday,Morning
62,2017-01-05 12:00:00,Thursday,Morning
63,2017-01-05 13:00:00,Thursday,Morning
64,2017-01-05 14:00:00,Thursday,Afternoon
65,2017-01-05 15:00:00,Thursday,Afternoon
66,2017-01-05 16:00:00,Thursday,Afternoon
67,2017-01-05 17:00:00,Thursday,Afternoon
68,2017-01-05 18:00:00,Thursday,Afternoon
69,2017-01-05 19:00:00,Thursday,Afternoon
70,2017-01-05 22:00:00,Thursday,Night
71,2017-01-05 23:00:00,Thursday,Night
72,2017-01-06 00:00:00,Friday,Night
73,2017-01-06 06:00:00,Friday,Morning
74,2017-01-06 10:00:00,Friday,Morning
75,2017-01-06 12:00:00,Friday,Morning
76,2017-01-06 15:00:00,Friday,Afternoon
77,2017-01-06 20:00:00,Friday,Afternoon
78,2017-01-06 22:00:00,Friday,Night
79,2017-01-06 23:00:00,Friday,Night
80,2017-01-07 00:00:00,Saturday,Night
81,2017-01-07 01:00:00,Saturday,Night
82,2017-01-07 04:00:00,Saturday,Night
83,2017-01-07 08:00:00,Saturday,Morning
84,2017-01-07 09:00:00,Saturday,Morning
85,2017-01-07 10:00:00,Saturday,Morning
86,2017-01-07 12:00:00,Saturday,Morning
87,2017-01-07 13:00:00,Saturday,Morning
88,2017-01-07 14:00:00,Saturday,Afternoon
89,2017-01-07 17:00:00,Saturday,Afternoon
90,2017-01-07 18:00:00,Saturday,Afternoon
91,2017-01-07 19:00:00,Saturday,Afternoon
92,2017-01-07 21:00:00,Saturday,Afternoon
93,2017-01-07 23:00:00,Saturday,Night
94,2017-01-08 05:00:00,Sunday,Night
95,2017-01-08 06:00:00,Sunday,Morning
96,2017-01-08 09:00:00,Sunday,Morning
97,2017-01-08 12:00:00,Sunday,Morning
98,2017-01-08 15:00:00,Sunday,Afternoon
99,2017-01-08 16:00:00,Sunday,Afternoon
100,2017-01-08 19:00:00,Sunday,Afternoon
101,2017-01-08 20:00:00,Sunday,Afternoon
102,2017-01-08 21:00:00,Sunday,Afternoon
103,2017-01-09 01:00:00,Monday,Night
104,2017-01-09 08:00:00,Monday,Morning
105,2017-01-09 09:00:00,Monday,Morning
106,2017-01-09 11:00:00,Monday,Morning
107,2017-01-09 12:00:00,Monday,Morning
108,2017-01-09 13:00:00,Monday,Morning
109,2017-01-09 14:00:00,Monday,Afternoon
110,2017-01-09 15:00:00,Monday,Afternoon
111,2017-01-09 16:00:00,Monday,Afternoon
112,2017-01-09 17:00:00,Monday,Afternoon
113,2017-01-09 18:00:00,Monday,Afternoon
114,2017-01-09 19:00:00,Monday,Afternoon
115,2017-01-09 21:00:00,Monday,Afternoon
116,2017-01-09 22:00:00,Monday,Night
117,2017-01-09 23:00:00,Monday,Night
118,2017-01-10 02:00:00,Tuesday,Night
119,2017-01-10 08:00:00,Tuesday,Morning
120,2017-01-10 09:00:00,Tuesday,Morning
121,2017-01-10 10:00:00,Tuesday,Morning
122,2017-01-10 11:00:00,Tuesday,Morning
123,2017-01-10 12:00:00,Tuesday,Morning
124,2017-01-10 13:00:00,Tuesday,Morning
125,2017-01-10 14:00:00,Tuesday,Afternoon
126,2017-01-10 15:00:00,Tuesday,Afternoon
127,2017-01-10 16:00:00,Tuesday,Afternoon
128,2017-01-10 17:00:00,Tuesday,Afternoon
129,2017-01-10 18:00:00,Tuesday,Afternoon
130,2017-01-10 19:00:00,Tuesday,Afternoon
131,2017-01-10 21:00:00,Tuesday,Afternoon
132,2017-01-10 22:00:00,Tuesday,Night
133,2017-01-11 07:00:00,Wednesday,Morning
134,2017-01-11 09:00:00,Wednesday,Morning
135,2017-01-11 11:00:00,Wednesday,Morning
136,2017-01-11 13:00:00,Wednesday,Morning
137,2017-01-11 14:00:00,Wednesday,Afternoon
138,2017-01-11 15:00:00,Wednesday,Afternoon
139,2017-01-11 16:00:00,Wednesday,Afternoon
140,2017-01-11 17:00:00,Wednesday,Afternoon
141,2017-01-11 18:00:00,Wednesday,Afternoon
142,2017-01-11 19:00:00,Wednesday,Afternoon
143,2017-01-11 20:00:00,Wednesday,Afternoon
144,2017-01-11 21:00:00,Wednesday,Afternoon
145,2017-01-11 23:00:00,Wednesday,Night
146,2017-01-12 01:00:00,Thursday,Night
147,2017-01-12 03:00:00,Thursday,Night
148,2017-01-12 07:00:00,Thursday,Morning
149,2017-01-12 08:00:00,Thursday,Morning
150,2017-01-12 09:00:00,Thursday,Morning
151,2017-01-12 10:00:00,Thursday,Morning
152,2017-01-12 11:00:00,Thursday,Morning
153,2017-01-12 12:00:00,Thursday,Morning
154,2017-01-12 13:00:00,Thursday,Morning
155,2017-01-12 14:00:00,Thursday,Afternoon
156,2017-01-12 15:00:00,Thursday,Afternoon
157,2017-01-12 18:00:00,Thursday,Afternoon
158,2017-01-12 19:00:00,Thursday,Afternoon
159,2017-01-12 20:00:00,Thursday,Afternoon
160,2017-01-12 21:00:00,Thursday,Afternoon
161,2017-01-13 08:00:00,Friday,Morning
162,2017-01-13 09:00:00,Friday,Morning
163,2017-01-13 10:00:00,Friday,Morning
164,2017-01-13 11:00:00,Friday,Morning
165,2017-01-13 13:00:00,Friday,Morning
