,Unnamed: 0,Datetime,Weekday,Part of the day,counts
0,0,2017-01-01 02:00:00,Sunday,Night,1
1,1,2017-01-01 04:00:00,Sunday,Night,1
2,2,2017-01-01 06:00:00,Sunday,Morning,1
3,3,2017-01-01 07:00:00,Sunday,Morning,2
4,4,2017-01-01 10:00:00,Sunday,Morning,2
5,5,2017-01-01 11:00:00,Sunday,Morning,1
6,6,2017-01-01 12:00:00,Sunday,Morning,2
7,7,2017-01-01 13:00:00,Sunday,Morning,1
8,8,2017-01-01 14:00:00,Sunday,Afternoon,1
9,9,2017-01-01 15:00:00,Sunday,Afternoon,2
10,10,2017-01-01 16:00:00,Sunday,Afternoon,2
11,11,2017-01-01 17:00:00,Sunday,Afternoon,2
12,12,2017-01-01 19:00:00,Sunday,Afternoon,3
13,13,2017-01-01 22:00:00,Sunday,Night,1
14,14,2017-01-02 06:00:00,Monday,Morning,1
15,15,2017-01-02 07:00:00,Monday,Morning,1
16,16,2017-01-02 09:00:00,Monday,Morning,1
17,17,2017-01-02 10:00:00,Monday,Morning,2
18,18,2017-01-02 13:00:00,Monday,Morning,1
19,19,2017-01-02 14:00:00,Monday,Afternoon,1
20,20,2017-01-02 16:00:00,Monday,Afternoon,1
21,21,2017-01-02 17:00:00,Monday,Afternoon,2
22,22,2017-01-02 18:00:00,Monday,Afternoon,2
23,23,2017-01-02 19:00:00,Monday,Afternoon,2
24,24,2017-01-02 20:00:00,Monday,Afternoon,1
25,25,2017-01-02 22:00:00,Monday,Night,2
26,26,2017-01-02 23:00:00,Monday,Night,1
27,27,2017-01-03 00:00:00,Tuesday,Night,1
28,28,2017-01-03 05:00:00,Tuesday,Night,1
29,29,2017-01-03 07:00:00,Tuesday,Morning,3
30,30,2017-01-03 09:00:00,Tuesday,Morning,1
31,31,2017-01-03 11:00:00,Tuesday,Morning,4
32,32,2017-01-03 12:00:00,Tuesday,Morning,5
33,33,2017-01-03 13:00:00,Tuesday,Morning,2
34,34,2017-01-03 14:00:00,Tuesday,Afternoon,3
35,35,2017-01-03 15:00:00,Tuesday,Afternoon,2
36,36,2017-01-03 17:00:00,Tuesday,Afternoon,1
37,37,2017-01-03 18:00:00,Tuesday,Afternoon,1
38,38,2017-01-03 19:00:00,Tuesday,Afternoon,2
39,39,2017-01-03 21:00:00,Tuesday,Afternoon,2
40,40,2017-01-03 23:00:00,Tuesday,Night,1
41,41,2017-01-04 08:00:00,Wednesday,Morning,2
42,42,2017-01-04 10:00:00,Wednesday,Morning,3
43,43,2017-01-04 11:00:00,Wednesday,Morning,1
44,44,2017-01-04 12:00:00,Wednesday,Morning,2
45,45,2017-01-04 13:00:00,Wednesday,Morning,2
46,46,2017-01-04 14:00:00,Wednesday,Afternoon,6
47,47,2017-01-04 15:00:00,Wednesday,Afternoon,3
48,48,2017-01-04 16:00:00,Wednesday,Afternoon,1
49,49,2017-01-04 17:00:00,Wednesday,Afternoon,2
50,50,2017-01-04 19:00:00,Wednesday,Afternoon,2
51,51,2017-01-04 21:00:00,Wednesday,Afternoon,2
52,52,2017-01-04 22:00:00,Wednesday,Night,2
53,53,2017-01-05 02:00:00,Thursday,Night,1
54,54,2017-01-05 04:00:00,Thursday,Night,1
55,55,2017-01-05 05:00:00,Thursday,Night,1
56,56,2017-01-05 06:00:00,Thursday,Morning,1
57,57,2017-01-05 07:00:00,Thursday,Morning,3
58,58,2017-01-05 08:00:00,Thursday,Morning,3
59,59,2017-01-05 09:00:00,Thursday,Morning,3
60,60,2017-01-05 10:00:00,Thursday,Morning,2
61,61,2017-01-05 11:00:00,Thursday,Morning,1
62,62,2017-01-05 12:00:00,Thursday,Morning,2
63,63,2017-01-05 13:00:00,Thursday,Morning,1
64,64,2017-01-05 14:00:00,Thursday,Afternoon,2
65,65,2017-01-05 15:00:00,Thursday,Afternoon,3
66,66,2017-01-05 16:00:00,Thursday,Afternoon,2
67,67,2017-01-05 17:00:00,Thursday,Afternoon,1
68,68,2017-01-05 18:00:00,Thursday,Afternoon,2
69,69,2017-01-05 19:00:00,Thursday,Afternoon,1
70,70,2017-01-05 22:00:00,Thursday,Night,2
71,71,2017-01-05 23:00:00,Thursday,Night,2
72,72,2017-01-06 00:00:00,Friday,Night,1
73,73,2017-01-06 06:00:00,Friday,Morning,1
74,74,2017-01-06 10:00:00,Friday,Morning,1
75,75,2017-01-06 12:00:00,Friday,Morning,2
76,76,2017-01-06 15:00:00,Friday,Afternoon,1
77,77,2017-01-06 20:00:00,Friday,Afternoon,2
78,78,2017-01-06 22:00:00,Friday,Night,1
79,79,2017-01-06 23:00:00,Friday,Night,2
80,80,2017-01-07 00:00:00,Saturday,Night,1
81,81,2017-01-07 01:00:00,Saturday,Night,2
82,82,2017-01-07 04:00:00,Saturday,Night,2
83,83,2017-01-07 08:00:00,Saturday,Morning,2
84,84,2017-01-07 09:00:00,Saturday,Morning,2
85,85,2017-01-07 10:00:00,Saturday,Morning,1
86,86,2017-01-07 12:00:00,Saturday,Morning,1
87,87,2017-01-07 13:00:00,Saturday,Morning,3
88,88,2017-01-07 14:00:00,Saturday,Afternoon,2
89,89,2017-01-07 17:00:00,Saturday,Afternoon,2
90,90,2017-01-07 18:00:00,Saturday,Afternoon,2
91,91,2017-01-07 19:00:00,Saturday,Afternoon,1
92,92,2017-01-07 21:00:00,Saturday,Afternoon,2
93,93,2017-01-07 23:00:00,Saturday,Night,1
94,94,2017-01-08 05:00:00,Sunday,Night,2
95,95,2017-01-08 06:00:00,Sunday,Morning,2
96,96,2017-01-08 09:00:00,Sunday,Morning,1
97,97,2017-01-08 12:00:00,Sunday,Morning,2
98,98,2017-01-08 15:00:00,Sunday,Afternoon,1
99,99,2017-01-08 16:00:00,Sunday,Afternoon,2
100,100,2017-01-08 19:00:00,Sunday,Afternoon,2
101,101,2017-01-08 20:00:00,Sunday,Afternoon,2
102,102,2017-01-08 21:00:00,Sunday,Afternoon,2
103,103,2017-01-09 01:00:00,Monday,Night,1
104,104,2017-01-09 08:00:00,Monday,Morning,2
105,105,2017-01-09 09:00:00,Monday,Morning,2
106,106,2017-01-09 11:00:00,Monday,Morning,1
107,107,2017-01-09 12:00:00,Monday,Morning,5
108,108,2017-01-09 13:00:00,Monday,Morning,4
109,109,2017-01-09 14:00:00,Monday,Afternoon,1
110,110,2017-01-09 15:00:00,Monday,Afternoon,1
111,111,2017-01-09 16:00:00,Monday,Afternoon,2
112,112,2017-01-09 17:00:00,Monday,Afternoon,1
113,113,2017-01-09 18:00:00,Monday,Afternoon,2
114,114,2017-01-09 19:00:00,Monday,Afternoon,2
115,115,2017-01-09 21:00:00,Monday,Afternoon,2
116,116,2017-01-09 22:00:00,Monday,Night,1
117,117,2017-01-09 23:00:00,Monday,Night,1
118,118,2017-01-10 02:00:00,Tuesday,Night,1
119,119,2017-01-10 08:00:00,Tuesday,Morning,3
120,120,2017-01-10 09:00:00,Tuesday,Morning,3
121,121,2017-01-10 10:00:00,Tuesday,Morning,2
122,122,2017-01-10 11:00:00,Tuesday,Morning,2
123,123,2017-01-10 12:00:00,Tuesday,Morning,1
124,124,2017-01-10 13:00:00,Tuesday,Morning,3
125,125,2017-01-10 14:00:00,Tuesday,Afternoon,6
126,126,2017-01-10 15:00:00,Tuesday,Afternoon,1
127,127,2017-01-10 16:00:00,Tuesday,Afternoon,3
128,128,2017-01-10 17:00:00,Tuesday,Afternoon,3
129,129,2017-01-10 18:00:00,Tuesday,Afternoon,4
130,130,2017-01-10 19:00:00,Tuesday,Afternoon,1
131,131,2017-01-10 21:00:00,Tuesday,Afternoon,1
132,132,2017-01-10 22:00:00,Tuesday,Night,1
133,133,2017-01-11 07:00:00,Wednesday,Morning,3
134,134,2017-01-11 09:00:00,Wednesday,Morning,3
135,135,2017-01-11 11:00:00,Wednesday,Morning,2
136,136,2017-01-11 13:00:00,Wednesday,Morning,1
137,137,2017-01-11 14:00:00,Wednesday,Afternoon,2
138,138,2017-01-11 15:00:00,Wednesday,Afternoon,3
139,139,2017-01-11 16:00:00,Wednesday,Afternoon,3
140,140,2017-01-11 17:00:00,Wednesday,Afternoon,4
141,141,2017-01-11 18:00:00,Wednesday,Afternoon,3
142,142,2017-01-11 19:00:00,Wednesday,Afternoon,3
143,143,2017-01-11 20:00:00,Wednesday,Afternoon,1
144,144,2017-01-11 21:00:00,Wednesday,Afternoon,3
145,145,2017-01-11 23:00:00,Wednesday,Night,1
146,146,2017-01-12 01:00:00,Thursday,Night,1
147,147,2017-01-12 03:00:00,Thursday,Night,1
148,148,2017-01-12 07:00:00,Thursday,Morning,2
149,149,2017-01-12 08:00:00,Thursday,Morning,5
150,150,2017-01-12 09:00:00,Thursday,Morning,3
151,151,2017-01-12 10:00:00,Thursday,Morning,2
152,152,2017-01-12 11:00:00,Thursday,Morning,1
153,153,2017-01-12 12:00:00,Thursday,Morning,3
154,154,2017-01-12 13:00:00,Thursday,Morning,1
155,155,2017-01-12 14:00:00,Thursday,Afternoon,2
156,156,2017-01-12 15:00:00,Thursday,Afternoon,4
157,157,2017-01-12 18:00:00,Thursday,Afternoon,2
158,158,2017-01-12 19:00:00,Thursday,Afternoon,3
159,159,2017-01-12 20:00:00,Thursday,Afternoon,1
160,160,2017-01-12 21:00:00,Thursday,Afternoon,1
161,161,2017-01-13 08:00:00,Friday,Morning,1
162,162,2017-01-13 09:00:00,Friday,Morning,4
163,163,2017-01-13 10:00:00,Friday,Morning,4
164,164,2017-01-13 11:00:00,Friday,Morning,4
165,165,2017-01-13 13:00:00,Friday,Morning,5
166,166,2017-01-13 14:00:00,Friday,Afternoon,8
167,167,2017-01-13 15:00:00,Friday,Afternoon,4
168,168,2017-01-13 16:00:00,Friday,Afternoon,4
169,169,2017-01-13 17:00:00,Friday,Afternoon,3
170,170,2017-01-13 18:00:00,Friday,Afternoon,1
171,171,2017-01-13 20:00:00,Friday,Afternoon,1
172,172,2017-01-13 21:00:00,Friday,Afternoon,2
173,173,2017-01-14 00:00:00,Saturday,Night,1
174,174,2017-01-14 04:00:00,Saturday,Night,1
175,175,2017-01-14 08:00:00,Saturday,Morning,2
176,176,2017-01-14 09:00:00,Saturday,Morning,1
177,177,2017-01-14 11:00:00,Saturday,Morning,1
178,178,2017-01-14 12:00:00,Saturday,Morning,3
179,179,2017-01-14 13:00:00,Saturday,Morning,3
180,180,2017-01-14 14:00:00,Saturday,Afternoon,7
181,181,2017-01-14 16:00:00,Saturday,Afternoon,1
182,182,2017-01-14 17:00:00,Saturday,Afternoon,1
183,183,2017-01-14 18:00:00,Saturday,Afternoon,1
184,184,2017-01-14 19:00:00,Saturday,Afternoon,2
185,185,2017-01-14 20:00:00,Saturday,Afternoon,2
186,186,2017-01-14 21:00:00,Saturday,Afternoon,3
187,187,2017-01-14 22:00:00,Saturday,Night,3
188,188,2017-01-14 23:00:00,Saturday,Night,1
189,189,2017-01-15 00:00:00,Sunday,Night,1
190,190,2017-01-15 01:00:00,Sunday,Night,1
191,191,2017-01-15 03:00:00,Sunday,Night,1
192,192,2017-01-15 10:00:00,Sunday,Morning,1
193,193,2017-01-15 12:00:00,Sunday,Morning,1
194,194,2017-01-15 13:00:00,Sunday,Morning,1
195,195,2017-01-15 14:00:00,Sunday,Afternoon,3
196,196,2017-01-15 17:00:00,Sunday,Afternoon,1
197,197,2017-01-15 19:00:00,Sunday,Afternoon,1
198,198,2017-01-15 21:00:00,Sunday,Afternoon,1
199,199,2017-01-16 07:00:00,Monday,Morning,2
200,200,2017-01-16 08:00:00,Monday,Morning,5
201,201,2017-01-16 09:00:00,Monday,Morning,4
202,202,2017-01-16 11:00:00,Monday,Morning,4
203,203,2017-01-16 12:00:00,Monday,Morning,2
204,204,2017-01-16 14:00:00,Monday,Afternoon,2
205,205,2017-01-16 15:00:00,Monday,Afternoon,4
206,206,2017-01-16 16:00:00,Monday,Afternoon,3
207,207,2017-01-16 17:00:00,Monday,Afternoon,4
208,208,2017-01-16 18:00:00,Monday,Afternoon,3
209,209,2017-01-16 19:00:00,Monday,Afternoon,3
210,210,2017-01-16 20:00:00,Monday,Afternoon,1
211,211,2017-01-17 07:00:00,Tuesday,Morning,1
212,212,2017-01-17 08:00:00,Tuesday,Morning,3
213,213,2017-01-17 09:00:00,Tuesday,Morning,4
214,214,2017-01-17 10:00:00,Tuesday,Morning,3
215,215,2017-01-17 11:00:00,Tuesday,Morning,1
216,216,2017-01-17 12:00:00,Tuesday,Morning,8
217,217,2017-01-17 13:00:00,Tuesday,Morning,1
218,218,2017-01-17 14:00:00,Tuesday,Afternoon,3
219,219,2017-01-17 15:00:00,Tuesday,Afternoon,3
220,220,2017-01-17 16:00:00,Tuesday,Afternoon,6
221,221,2017-01-17 17:00:00,Tuesday,Afternoon,1
222,222,2017-01-17 18:00:00,Tuesday,Afternoon,4
223,223,2017-01-17 21:00:00,Tuesday,Afternoon,3
224,224,2017-01-17 22:00:00,Tuesday,Night,1
225,225,2017-01-18 01:00:00,Wednesday,Night,1
226,226,2017-01-18 06:00:00,Wednesday,Morning,1
227,227,2017-01-18 09:00:00,Wednesday,Morning,3
228,228,2017-01-18 10:00:00,Wednesday,Morning,3
229,229,2017-01-18 12:00:00,Wednesday,Morning,2
230,230,2017-01-18 13:00:00,Wednesday,Morning,2
231,231,2017-01-18 15:00:00,Wednesday,Afternoon,2
232,232,2017-01-18 16:00:00,Wednesday,Afternoon,4
233,233,2017-01-18 17:00:00,Wednesday,Afternoon,2
234,234,2017-01-18 18:00:00,Wednesday,Afternoon,3
235,235,2017-01-18 19:00:00,Wednesday,Afternoon,1
236,236,2017-01-18 20:00:00,Wednesday,Afternoon,1
237,237,2017-01-18 21:00:00,Wednesday,Afternoon,1
238,238,2017-01-18 22:00:00,Wednesday,Night,1
239,239,2017-01-19 01:00:00,Thursday,Night,1
240,240,2017-01-19 07:00:00,Thursday,Morning,2
241,241,2017-01-19 08:00:00,Thursday,Morning,2
242,242,2017-01-19 09:00:00,Thursday,Morning,2
243,243,2017-01-19 10:00:00,Thursday,Morning,2
244,244,2017-01-19 11:00:00,Thursday,Morning,1
245,245,2017-01-19 12:00:00,Thursday,Morning,2
246,246,2017-01-19 13:00:00,Thursday,Morning,1
247,247,2017-01-19 15:00:00,Thursday,Afternoon,1
248,248,2017-01-19 16:00:00,Thursday,Afternoon,1
249,249,2017-01-19 17:00:00,Thursday,Afternoon,2
250,250,2017-01-19 18:00:00,Thursday,Afternoon,1
251,251,2017-01-19 19:00:00,Thursday,Afternoon,2
252,252,2017-01-19 20:00:00,Thursday,Afternoon,1
253,253,2017-01-19 22:00:00,Thursday,Night,1
254,254,2017-01-20 07:00:00,Friday,Morning,1
255,255,2017-01-20 08:00:00,Friday,Morning,2
256,256,2017-01-20 09:00:00,Friday,Morning,4
257,257,2017-01-20 10:00:00,Friday,Morning,3
258,258,2017-01-20 11:00:00,Friday,Morning,2
259,259,2017-01-20 12:00:00,Friday,Morning,1
260,260,2017-01-20 13:00:00,Friday,Morning,5
261,261,2017-01-20 14:00:00,Friday,Afternoon,4
262,262,2017-01-20 15:00:00,Friday,Afternoon,1
263,263,2017-01-20 16:00:00,Friday,Afternoon,4
264,264,2017-01-20 17:00:00,Friday,Afternoon,1
265,265,2017-01-20 18:00:00,Friday,Afternoon,2
266,266,2017-01-20 19:00:00,Friday,Afternoon,4
267,267,2017-01-20 20:00:00,Friday,Afternoon,2
268,268,2017-01-20 21:00:00,Friday,Afternoon,4
269,269,2017-01-20 22:00:00,Friday,Night,1
270,270,2017-01-20 23:00:00,Friday,Night,1
271,271,2017-01-21 01:00:00,Saturday,Night,2
272,272,2017-01-21 02:00:00,Saturday,Night,1
273,273,2017-01-21 07:00:00,Saturday,Morning,1
274,274,2017-01-21 08:00:00,Saturday,Morning,2
275,275,2017-01-21 12:00:00,Saturday,Morning,2
276,276,2017-01-21 16:00:00,Saturday,Afternoon,1
277,277,2017-01-21 17:00:00,Saturday,Afternoon,1
278,278,2017-01-21 19:00:00,Saturday,Afternoon,2
279,279,2017-01-21 21:00:00,Saturday,Afternoon,1
280,280,2017-01-21 22:00:00,Saturday,Night,3
281,281,2017-01-21 23:00:00,Saturday,Night,1
282,282,2017-01-22 00:00:00,Sunday,Night,1
283,283,2017-01-22 01:00:00,Sunday,Night,1
284,284,2017-01-22 02:00:00,Sunday,Night,2
285,285,2017-01-22 06:00:00,Sunday,Morning,1
286,286,2017-01-22 09:00:00,Sunday,Morning,2
287,287,2017-01-22 10:00:00,Sunday,Morning,1
288,288,2017-01-22 13:00:00,Sunday,Morning,1
289,289,2017-01-22 19:00:00,Sunday,Afternoon,1
290,290,2017-01-22 20:00:00,Sunday,Afternoon,1
291,291,2017-01-22 22:00:00,Sunday,Night,1
292,292,2017-01-23 07:00:00,Monday,Morning,4
293,293,2017-01-23 08:00:00,Monday,Morning,3
294,294,2017-01-23 09:00:00,Monday,Morning,2
295,295,2017-01-23 10:00:00,Monday,Morning,2
296,296,2017-01-23 11:00:00,Monday,Morning,1
297,297,2017-01-23 13:00:00,Monday,Morning,1
298,298,2017-01-23 14:00:00,Monday,Afternoon,1
299,299,2017-01-23 15:00:00,Monday,Afternoon,2
300,300,2017-01-23 16:00:00,Monday,Afternoon,1
301,301,2017-01-23 17:00:00,Monday,Afternoon,2
302,302,2017-01-23 18:00:00,Monday,Afternoon,1
303,303,2017-01-23 20:00:00,Monday,Afternoon,1
304,304,2017-01-23 21:00:00,Monday,Afternoon,5
305,305,2017-01-23 22:00:00,Monday,Night,4
306,306,2017-01-24 05:00:00,Tuesday,Night,1
307,307,2017-01-24 06:00:00,Tuesday,Morning,1
308,308,2017-01-24 07:00:00,Tuesday,Morning,3
309,309,2017-01-24 08:00:00,Tuesday,Morning,3
310,310,2017-01-24 09:00:00,Tuesday,Morning,1
311,311,2017-01-24 10:00:00,Tuesday,Morning,1
312,312,2017-01-24 11:00:00,Tuesday,Morning,1
313,313,2017-01-24 12:00:00,Tuesday,Morning,1
314,314,2017-01-24 13:00:00,Tuesday,Morning,3
315,315,2017-01-24 14:00:00,Tuesday,Afternoon,2
316,316,2017-01-24 16:00:00,Tuesday,Afternoon,4
317,317,2017-01-24 17:00:00,Tuesday,Afternoon,1
318,318,2017-01-24 18:00:00,Tuesday,Afternoon,2
319,319,2017-01-24 19:00:00,Tuesday,Afternoon,1
320,320,2017-01-24 21:00:00,Tuesday,Afternoon,2
321,321,2017-01-25 05:00:00,Wednesday,Night,1
322,322,2017-01-25 06:00:00,Wednesday,Morning,1
323,323,2017-01-25 08:00:00,Wednesday,Morning,1
324,324,2017-01-25 09:00:00,Wednesday,Morning,1
325,325,2017-01-25 10:00:00,Wednesday,Morning,1
326,326,2017-01-25 11:00:00,Wednesday,Morning,2
327,327,2017-01-25 12:00:00,Wednesday,Morning,2
328,328,2017-01-25 13:00:00,Wednesday,Morning,1
329,329,2017-01-25 14:00:00,Wednesday,Afternoon,1
330,330,2017-01-25 15:00:00,Wednesday,Afternoon,3
331,331,2017-01-25 19:00:00,Wednesday,Afternoon,1
332,332,2017-01-25 20:00:00,Wednesday,Afternoon,1
333,333,2017-01-25 21:00:00,Wednesday,Afternoon,2
334,334,2017-01-25 22:00:00,Wednesday,Night,1
335,335,2017-01-25 23:00:00,Wednesday,Night,1
336,336,2017-01-26 06:00:00,Thursday,Morning,1
337,337,2017-01-26 07:00:00,Thursday,Morning,4
338,338,2017-01-26 08:00:00,Thursday,Morning,4
339,339,2017-01-26 09:00:00,Thursday,Morning,5
340,340,2017-01-26 10:00:00,Thursday,Morning,4
341,341,2017-01-26 11:00:00,Thursday,Morning,3
342,342,2017-01-26 12:00:00,Thursday,Morning,1
343,343,2017-01-26 13:00:00,Thursday,Morning,1
344,344,2017-01-26 14:00:00,Thursday,Afternoon,1
345,345,2017-01-26 16:00:00,Thursday,Afternoon,1
346,346,2017-01-26 19:00:00,Thursday,Afternoon,2
347,347,2017-01-26 20:00:00,Thursday,Afternoon,3
348,348,2017-01-26 23:00:00,Thursday,Night,2
349,349,2017-01-27 00:00:00,Friday,Night,2
350,350,2017-01-27 01:00:00,Friday,Night,1
351,351,2017-01-27 06:00:00,Friday,Morning,1
352,352,2017-01-27 07:00:00,Friday,Morning,1
353,353,2017-01-27 08:00:00,Friday,Morning,3
354,354,2017-01-27 10:00:00,Friday,Morning,1
355,355,2017-01-27 11:00:00,Friday,Morning,3
356,356,2017-01-27 12:00:00,Friday,Morning,4
357,357,2017-01-27 13:00:00,Friday,Morning,1
358,358,2017-01-27 14:00:00,Friday,Afternoon,2
359,359,2017-01-27 15:00:00,Friday,Afternoon,3
360,360,2017-01-27 17:00:00,Friday,Afternoon,3
361,361,2017-01-27 19:00:00,Friday,Afternoon,2
362,362,2017-01-27 20:00:00,Friday,Afternoon,4
363,363,2017-01-27 21:00:00,Friday,Afternoon,2
364,364,2017-01-28 02:00:00,Saturday,Night,1
365,365,2017-01-28 04:00:00,Saturday,Night,1
366,366,2017-01-28 05:00:00,Saturday,Night,1
367,367,2017-01-28 06:00:00,Saturday,Morning,1
368,368,2017-01-28 08:00:00,Saturday,Morning,1
369,369,2017-01-28 09:00:00,Saturday,Morning,1
370,370,2017-01-28 10:00:00,Saturday,Morning,1
371,371,2017-01-28 12:00:00,Saturday,Morning,5
372,372,2017-01-28 13:00:00,Saturday,Morning,1
373,373,2017-01-28 14:00:00,Saturday,Afternoon,1
374,374,2017-01-28 15:00:00,Saturday,Afternoon,2
375,375,2017-01-28 17:00:00,Saturday,Afternoon,2
376,376,2017-01-28 18:00:00,Saturday,Afternoon,1
377,377,2017-01-28 19:00:00,Saturday,Afternoon,5
378,378,2017-01-28 23:00:00,Saturday,Night,1
379,379,2017-01-29 03:00:00,Sunday,Night,1
380,380,2017-01-29 10:00:00,Sunday,Morning,3
381,381,2017-01-29 12:00:00,Sunday,Morning,2
382,382,2017-01-29 13:00:00,Sunday,Morning,3
383,383,2017-01-29 14:00:00,Sunday,Afternoon,1
384,384,2017-01-29 15:00:00,Sunday,Afternoon,1
385,385,2017-01-29 16:00:00,Sunday,Afternoon,2
386,386,2017-01-29 17:00:00,Sunday,Afternoon,2
387,387,2017-01-29 18:00:00,Sunday,Afternoon,2
388,388,2017-01-29 19:00:00,Sunday,Afternoon,1
389,389,2017-01-29 20:00:00,Sunday,Afternoon,2
390,390,2017-01-29 21:00:00,Sunday,Afternoon,2
391,391,2017-01-29 22:00:00,Sunday,Night,1
392,392,2017-01-30 03:00:00,Monday,Night,1
393,393,2017-01-30 08:00:00,Monday,Morning,2
394,394,2017-01-30 09:00:00,Monday,Morning,5
395,395,2017-01-30 10:00:00,Monday,Morning,2
396,396,2017-01-30 11:00:00,Monday,Morning,1
397,397,2017-01-30 13:00:00,Monday,Morning,1
398,398,2017-01-30 14:00:00,Monday,Afternoon,1
399,399,2017-01-30 15:00:00,Monday,Afternoon,3
400,400,2017-01-30 16:00:00,Monday,Afternoon,3
401,401,2017-01-30 17:00:00,Monday,Afternoon,2
402,402,2017-01-30 18:00:00,Monday,Afternoon,3
403,403,2017-01-30 19:00:00,Monday,Afternoon,2
404,404,2017-01-30 20:00:00,Monday,Afternoon,4
405,405,2017-01-30 21:00:00,Monday,Afternoon,2
406,406,2017-01-30 23:00:00,Monday,Night,1
407,407,2017-01-31 00:00:00,Tuesday,Night,1
408,408,2017-01-31 06:00:00,Tuesday,Morning,1
409,409,2017-01-31 08:00:00,Tuesday,Morning,3
410,410,2017-01-31 09:00:00,Tuesday,Morning,2
411,411,2017-01-31 10:00:00,Tuesday,Morning,4
412,412,2017-01-31 11:00:00,Tuesday,Morning,2
413,413,2017-01-31 12:00:00,Tuesday,Morning,2
414,414,2017-01-31 13:00:00,Tuesday,Morning,2
415,415,2017-01-31 14:00:00,Tuesday,Afternoon,1
416,416,2017-01-31 16:00:00,Tuesday,Afternoon,3
417,417,2017-01-31 17:00:00,Tuesday,Afternoon,1
418,418,2017-01-31 18:00:00,Tuesday,Afternoon,3
419,419,2017-01-31 19:00:00,Tuesday,Afternoon,1
420,420,2017-01-31 21:00:00,Tuesday,Afternoon,1
421,421,2017-02-01 07:00:00,Wednesday,Morning,2
422,422,2017-02-01 08:00:00,Wednesday,Morning,3
423,423,2017-02-01 09:00:00,Wednesday,Morning,4
424,424,2017-02-01 10:00:00,Wednesday,Morning,3
425,425,2017-02-01 11:00:00,Wednesday,Morning,2
426,426,2017-02-01 12:00:00,Wednesday,Morning,1
427,427,2017-02-01 13:00:00,Wednesday,Morning,1
428,428,2017-02-01 14:00:00,Wednesday,Afternoon,4
429,429,2017-02-01 15:00:00,Wednesday,Afternoon,1
430,430,2017-02-01 17:00:00,Wednesday,Afternoon,3
431,431,2017-02-01 18:00:00,Wednesday,Afternoon,2
432,432,2017-02-01 19:00:00,Wednesday,Afternoon,5
433,433,2017-02-01 20:00:00,Wednesday,Afternoon,5
434,434,2017-02-01 21:00:00,Wednesday,Afternoon,1
435,435,2017-02-01 22:00:00,Wednesday,Night,2
436,436,2017-02-01 23:00:00,Wednesday,Night,1
437,437,2017-02-02 00:00:00,Thursday,Night,1
438,438,2017-02-02 03:00:00,Thursday,Night,1
439,439,2017-02-02 06:00:00,Thursday,Morning,1
440,440,2017-02-02 08:00:00,Thursday,Morning,2
441,441,2017-02-02 09:00:00,Thursday,Morning,4
442,442,2017-02-02 10:00:00,Thursday,Morning,1
443,443,2017-02-02 12:00:00,Thursday,Morning,3
444,444,2017-02-02 13:00:00,Thursday,Morning,5
445,445,2017-02-02 14:00:00,Thursday,Afternoon,4
446,446,2017-02-02 15:00:00,Thursday,Afternoon,1
447,447,2017-02-02 16:00:00,Thursday,Afternoon,3
448,448,2017-02-02 17:00:00,Thursday,Afternoon,1
