,Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime.1
3087,2017-01-01 02:00:00,2017S000002    ,Eixample,Sunday,Night,1,0,1,2,2.182376,41.39968,2017-01-01 02:00:00
872,2017-01-01 04:00:00,2017S000001    ,Sarrià-Sant Gervasi,Sunday,Night,1,0,1,1,2.15133,41.400771,2017-01-01 04:00:00
4930,2017-01-01 06:00:00,2017S000003    ,Horta-Guinardó,Sunday,Morning,0,0,0,1,2.166464,41.412769,2017-01-01 06:00:00
1585,2017-01-01 07:00:00,2017S000004    ,Eixample,Sunday,Morning,1,0,1,2,2.157359,41.39331,2017-01-01 07:00:00
322,2017-01-01 10:00:00,2017S000008    ,Eixample,Sunday,Morning,2,0,2,2,2.166376,41.393276,2017-01-01 10:00:00
5294,2017-01-01 11:00:00,2017S000006    ,Ciutat Vella,Sunday,Morning,1,0,1,1,2.1651990000000003,41.385158,2017-01-01 11:00:00
1323,2017-01-01 12:00:00,2017S000021    ,Sant Martí,Sunday,Morning,0,0,0,4,2.211914,41.415181,2017-01-01 12:00:00
1889,2017-01-01 13:00:00,2017S000007    ,Sants-Montjuïc,Sunday,Morning,0,0,0,1,2.143206,41.352396,2017-01-01 13:00:00
4549,2017-01-01 14:00:00,2017S000009    ,Sants-Montjuïc,Sunday,Afternoon,1,0,1,2,2.142907,41.380251,2017-01-01 14:00:00
359,2017-01-01 15:00:00,2017S000013    ,Eixample,Sunday,Afternoon,1,0,1,1,2.164884,41.39216500000001,2017-01-01 15:00:00
4548,2017-01-01 16:00:00,2017S000014    ,Sants-Montjuïc,Sunday,Afternoon,1,0,1,2,2.142907,41.380251,2017-01-01 16:00:00
3672,2017-01-01 17:00:00,2017S000020    ,Nou Barris,Sunday,Afternoon,0,0,0,2,2.166306,41.43925,2017-01-01 17:00:00
2982,2017-01-01 19:00:00,2017S000018    ,Eixample,Sunday,Afternoon,1,0,1,2,2.151249,41.39265,2017-01-01 19:00:00
878,2017-01-01 22:00:00,2017S000022    ,Sarrià-Sant Gervasi,Sunday,Night,1,0,1,2,2.150274,41.394437,2017-01-01 22:00:00
9688,2017-01-02 06:00:00,2017S000024    ,Sants-Montjuïc,Monday,Morning,1,0,1,1,2.15045,41.374497,2017-01-02 06:00:00
3364,2017-01-02 07:00:00,2017S000025    ,Les Corts,Monday,Morning,1,0,1,2,2.106528,41.382695,2017-01-02 07:00:00
8443,2017-01-02 09:00:00,2017S000026    ,Sants-Montjuïc,Monday,Morning,1,0,1,3,2.130864,41.380458,2017-01-02 09:00:00
1033,2017-01-02 10:00:00,2017S000027    ,Gràcia,Monday,Morning,1,0,1,2,2.167786,41.407591,2017-01-02 10:00:00
10036,2017-01-02 13:00:00,2017S000029    ,Sarrià-Sant Gervasi,Monday,Morning,1,0,1,2,2.150978,41.401731,2017-01-02 13:00:00
5359,2017-01-02 14:00:00,2017S000030    ,Eixample,Monday,Afternoon,1,0,1,2,2.153928,41.382222,2017-01-02 14:00:00
1907,2017-01-02 16:00:00,2017S000031    ,Sants-Montjuïc,Monday,Afternoon,1,0,1,2,2.138761,41.355074,2017-01-02 16:00:00
344,2017-01-02 17:00:00,2017S000033    ,Eixample,Monday,Afternoon,1,0,1,2,2.181123,41.404366,2017-01-02 17:00:00
8926,2017-01-02 18:00:00,2017S000034    ,Nou Barris,Monday,Afternoon,1,0,1,2,2.175769,41.445142,2017-01-02 18:00:00
7289,2017-01-02 19:00:00,2017S000036    ,Sarrià-Sant Gervasi,Monday,Afternoon,1,0,1,2,2.144837,41.399892,2017-01-02 19:00:00
5185,2017-01-02 20:00:00,2017S000038    ,Sant Martí,Monday,Afternoon,1,0,1,2,2.20242,41.392322,2017-01-02 20:00:00
5570,2017-01-02 22:00:00,2017S000040    ,Eixample,Monday,Night,1,0,1,2,2.166375,41.400128,2017-01-02 22:00:00
6988,2017-01-02 23:00:00,2017S000041    ,Eixample,Monday,Night,1,0,1,2,2.182434,41.399724,2017-01-02 23:00:00
1308,2017-01-03 00:00:00,2017S000042    ,Sant Martí,Tuesday,Night,2,0,2,2,2.221113,41.407563,2017-01-03 00:00:00
5750,2017-01-03 05:00:00,2017S000043    ,Sants-Montjuïc,Tuesday,Night,0,0,0,2,2.176656,41.374429,2017-01-03 05:00:00
3690,2017-01-03 07:00:00,2017S000217    ,Nou Barris,Tuesday,Morning,1,0,1,1,2.176756,41.446948,2017-01-03 07:00:00
323,2017-01-03 09:00:00,2017S000046    ,Eixample,Tuesday,Morning,1,0,1,2,2.167508,41.39414,2017-01-03 09:00:00
