Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
12:00 AM,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1/1,1
12:30 AM,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1/1,1
1:00 AM,43 F,37 F,81 %,NW,10 mph,0 mph,30.4 in,1/1,1
1:30 AM,43 F,37 F,81 %,NW,9 mph,0 mph,30.4 in,1/1,1
2:00 AM,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1/1,1
2:30 AM,43 F,37 F,81 %,NW,8 mph,0 mph,30.3 in,1/1,1
3:00 AM,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1/1,1
3:30 AM,43 F,37 F,81 %,NW,10 mph,0 mph,30.3 in,1/1,1
4:00 AM,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1/1,1
4:30 AM,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1/1,1
5:00 AM,41 F,36 F,81 %,NW,10 mph,0 mph,30.3 in,1/1,1
5:30 AM,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1/1,1
6:00 AM,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1/1,1
6:30 AM,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1/1,1
7:00 AM,41 F,36 F,81 %,NW,14 mph,0 mph,30.3 in,1/1,1
7:30 AM,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1/1,1
8:00 AM,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1/1,1
8:30 AM,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1/1,1
9:00 AM,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1/1,1
9:30 AM,39 F,34 F,81 %,NNW,15 mph,0 mph,30.3 in,1/1,1
10:00 AM,39 F,34 F,81 %,NW,13 mph,0 mph,30.3 in,1/1,1
10:30 AM,41 F,34 F,76 %,NW,14 mph,0 mph,30.3 in,1/1,1
11:00 AM,43 F,34 F,70 %,NNW,15 mph,0 mph,30.3 in,1/1,1
11:30 AM,45 F,36 F,71 %,NNW,14 mph,0 mph,30.3 in,1/1,1
12:00 PM,45 F,36 F,71 %,NW,10 mph,0 mph,30.3 in,1/1,1
12:30 PM,46 F,36 F,66 %,NW,10 mph,0 mph,30.3 in,1/1,1
1:00 PM,48 F,36 F,62 %,NW,9 mph,0 mph,30.3 in,1/1,1
1:30 PM,48 F,37 F,66 %,NW,8 mph,0 mph,30.2 in,1/1,1
2:00 PM,50 F,39 F,66 %,WNW,8 mph,0 mph,30.2 in,1/1,1
2:30 PM,52 F,37 F,58 %,NW,6 mph,0 mph,30.2 in,1/1,1
3:00 PM,52 F,39 F,62 %,W,3 mph,0 mph,30.2 in,1/1,1
3:30 PM,54 F,39 F,58 %,WNW,5 mph,0 mph,30.2 in,1/1,1
4:00 PM,54 F,45 F,72 %,NW,3 mph,0 mph,30.2 in,1/1,1
4:30 PM,54 F,45 F,72 %,WNW,3 mph,0 mph,30.2 in,1/1,1
5:00 PM,52 F,45 F,76 %,WSW,12 mph,0 mph,30.2 in,1/1,1
5:30 PM,52 F,45 F,76 %,SW,10 mph,0 mph,30.2 in,1/1,1
6:00 PM,50 F,45 F,82 %,WSW,9 mph,0 mph,30.2 in,1/1,1
6:30 PM,48 F,43 F,82 %,WNW,5 mph,0 mph,30.2 in,1/1,1
7:00 PM,46 F,37 F,71 %,NW,6 mph,0 mph,30.2 in,1/1,1
7:30 PM,46 F,37 F,71 %,NW,7 mph,0 mph,30.2 in,1/1,1
8:00 PM,46 F,37 F,71 %,NW,8 mph,0 mph,30.2 in,1/1,1
8:30 PM,45 F,37 F,76 %,NNW,9 mph,0 mph,30.2 in,1/1,1
9:00 PM,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1/1,1
9:30 PM,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1/1,1
10:00 PM,43 F,36 F,76 %,NW,9 mph,0 mph,30.2 in,1/1,1
10:30 PM,43 F,36 F,76 %,NW,12 mph,0 mph,30.2 in,1/1,1
11:00 PM,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1/1,1
11:30 PM,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1/1,1
12:00 AM,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,1/2,0
12:30 AM,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,1/2,0
1:00 AM,39 F,32 F,75 %,NW,13 mph,0 mph,30.2 in,1/2,0
1:30 AM,39 F,32 F,75 %,NW,13 mph,0 mph,30.2 in,1/2,0
2:00 AM,39 F,32 F,75 %,NNW,15 mph,0 mph,30.2 in,1/2,0
2:30 AM,39 F,32 F,75 %,NNW,14 mph,0 mph,30.2 in,1/2,0
3:00 AM,39 F,32 F,75 %,NNW,14 mph,0 mph,30.2 in,1/2,0
3:30 AM,37 F,32 F,81 %,NNW,15 mph,0 mph,30.2 in,1/2,0
4:00 AM,37 F,32 F,81 %,NNW,16 mph,0 mph,30.2 in,1/2,0
4:30 AM,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1/2,0
5:00 AM,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1/2,0
5:30 AM,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1/2,0
6:00 AM,37 F,32 F,81 %,NNW,15 mph,0 mph,30.2 in,1/2,0
6:30 AM,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1/2,0
7:00 AM,37 F,32 F,81 %,NW,14 mph,0 mph,30.2 in,1/2,0
7:30 AM,37 F,32 F,81 %,NW,16 mph,0 mph,30.2 in,1/2,0
8:00 AM,37 F,30 F,75 %,NW,15 mph,0 mph,30.2 in,1/2,0
8:30 AM,37 F,30 F,75 %,NNW,15 mph,0 mph,30.2 in,1/2,0
9:00 AM,37 F,32 F,81 %,NW,14 mph,0 mph,30.2 in,1/2,0
9:30 AM,37 F,32 F,81 %,NW,13 mph,0 mph,30.2 in,1/2,0
10:00 AM,41 F,32 F,70 %,NNW,15 mph,29 mph,30.2 in,1/2,0
10:30 AM,41 F,32 F,70 %,NW,14 mph,0 mph,30.2 in,1/2,0
11:00 AM,43 F,34 F,70 %,NW,13 mph,24 mph,30.2 in,1/2,0
11:30 AM,46 F,36 F,66 %,NW,9 mph,21 mph,30.2 in,1/2,0
12:00 PM,48 F,36 F,62 %,NW,7 mph,0 mph,30.2 in,1/2,0
12:30 PM,50 F,37 F,62 %,NW,6 mph,0 mph,30.2 in,1/2,0
1:00 PM,52 F,41 F,67 %,NW,3 mph,0 mph,30.2 in,1/2,0
1:30 PM,57 F,45 F,63 %,CALM,0 mph,0 mph,30.1 in,1/2,0
2:00 PM,55 F,46 F,72 %,SW,15 mph,0 mph,30.1 in,1/2,0
2:30 PM,55 F,46 F,72 %,SW,17 mph,0 mph,30.1 in,1/2,0
3:00 PM,55 F,46 F,72 %,SW,17 mph,0 mph,30.1 in,1/2,0
3:30 PM,55 F,46 F,72 %,SW,16 mph,0 mph,30.1 in,1/2,0
4:00 PM,54 F,45 F,72 %,WSW,15 mph,0 mph,30.1 in,1/2,0
4:30 PM,54 F,45 F,72 %,WSW,14 mph,0 mph,30.1 in,1/2,0
5:00 PM,52 F,41 F,67 %,W,14 mph,0 mph,30.1 in,1/2,0
5:30 PM,52 F,41 F,67 %,WSW,12 mph,0 mph,30.1 in,1/2,0
6:00 PM,52 F,43 F,71 %,SW,13 mph,0 mph,30.1 in,1/2,0
6:30 PM,52 F,43 F,71 %,WSW,12 mph,0 mph,30.1 in,1/2,0
7:00 PM,52 F,43 F,71 %,WSW,9 mph,0 mph,30.1 in,1/2,0
7:30 PM,52 F,43 F,71 %,W,7 mph,0 mph,30.1 in,1/2,0
8:00 PM,50 F,43 F,76 %,NW,5 mph,16 mph,30.1 in,1/2,0
8:30 PM,48 F,39 F,71 %,NW,8 mph,0 mph,30.1 in,1/2,0
9:00 PM,48 F,37 F,66 %,NNW,9 mph,0 mph,30.1 in,1/2,0
9:30 PM,46 F,36 F,66 %,NW,13 mph,0 mph,30.1 in,1/2,0
10:00 PM,46 F,36 F,66 %,NNW,12 mph,23 mph,30.1 in,1/2,0
10:30 PM,46 F,36 F,66 %,NNW,12 mph,0 mph,30.1 in,1/2,0
11:00 PM,45 F,34 F,66 %,NNW,13 mph,0 mph,30.1 in,1/2,0
11:30 PM,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,1/2,0
12:00 AM,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,1/3,0
12:30 AM,43 F,32 F,66 %,NNW,15 mph,0 mph,30.1 in,1/3,0
1:00 AM,43 F,32 F,66 %,NNW,14 mph,0 mph,30.1 in,1/3,0
1:30 AM,41 F,32 F,70 %,NW,17 mph,0 mph,30.1 in,1/3,0
2:00 AM,41 F,32 F,70 %,NW,16 mph,0 mph,30.1 in,1/3,0
2:30 AM,41 F,32 F,70 %,NNW,16 mph,0 mph,30.1 in,1/3,0
3:00 AM,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,1/3,0
3:30 AM,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,1/3,0
4:00 AM,39 F,32 F,75 %,NW,15 mph,0 mph,30.1 in,1/3,0
4:30 AM,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,1/3,0
5:00 AM,39 F,30 F,70 %,NW,17 mph,0 mph,30.1 in,1/3,0
5:30 AM,39 F,30 F,70 %,NNW,17 mph,0 mph,30.1 in,1/3,0
6:00 AM,39 F,30 F,70 %,NNW,15 mph,0 mph,30.1 in,1/3,0
6:30 AM,39 F,30 F,70 %,NW,16 mph,0 mph,30.1 in,1/3,0
7:00 AM,39 F,30 F,70 %,NW,15 mph,0 mph,30.2 in,1/3,0
7:30 AM,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1/3,0
8:00 AM,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1/3,0
8:30 AM,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1/3,0
9:00 AM,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,1/3,0
9:30 AM,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,1/3,0
10:00 AM,41 F,32 F,70 %,NNW,17 mph,0 mph,30.2 in,1/3,0
10:30 AM,43 F,32 F,66 %,NNW,16 mph,0 mph,30.2 in,1/3,0
11:00 AM,45 F,34 F,66 %,NW,17 mph,0 mph,30.2 in,1/3,0
11:30 AM,45 F,34 F,66 %,NNW,17 mph,0 mph,30.2 in,1/3,0
12:00 PM,46 F,36 F,66 %,NW,14 mph,0 mph,30.2 in,1/3,0
12:30 PM,46 F,36 F,66 %,NW,13 mph,24 mph,30.2 in,1/3,0
1:00 PM,50 F,37 F,62 %,NW,12 mph,25 mph,30.2 in,1/3,0
1:30 PM,50 F,39 F,66 %,NW,9 mph,0 mph,30.2 in,1/3,0
2:00 PM,50 F,39 F,66 %,NNW,8 mph,0 mph,30.2 in,1/3,0
2:30 PM,52 F,39 F,62 %,NW,8 mph,0 mph,30.2 in,1/3,0
3:00 PM,52 F,39 F,62 %,NW,6 mph,0 mph,30.2 in,1/3,0
3:30 PM,54 F,41 F,62 %,NNW,5 mph,0 mph,30.2 in,1/3,0
4:00 PM,54 F,41 F,62 %,NW,3 mph,0 mph,30.2 in,1/3,0
4:30 PM,52 F,39 F,62 %,NNW,3 mph,0 mph,30.2 in,1/3,0
5:00 PM,52 F,39 F,62 %,NW,5 mph,0 mph,30.2 in,1/3,0
5:30 PM,50 F,39 F,66 %,NW,5 mph,0 mph,30.2 in,1/3,0
6:00 PM,50 F,39 F,66 %,NNW,7 mph,0 mph,30.2 in,1/3,0
6:30 PM,50 F,37 F,62 %,NNW,7 mph,0 mph,30.2 in,1/3,0
7:00 PM,48 F,39 F,71 %,NW,8 mph,0 mph,30.2 in,1/3,0
7:30 PM,46 F,37 F,71 %,NNW,12 mph,0 mph,30.2 in,1/3,0
8:00 PM,46 F,37 F,71 %,NW,10 mph,0 mph,30.2 in,1/3,0
8:30 PM,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1/3,0
9:00 PM,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1/3,0
9:30 PM,45 F,36 F,71 %,NNW,12 mph,0 mph,30.2 in,1/3,0
10:00 PM,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1/3,0
10:30 PM,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1/3,0
11:00 PM,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1/3,0
11:30 PM,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1/3,0
12:00 AM,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1/4,0
12:30 AM,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1/4,0
