,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
0,00:00:00,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1-1,1
1,12:30:00,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1-1,1
2,1:00:00,43 F,37 F,81 %,NW,10 mph,0 mph,30.4 in,1-1,1
3,1:30:00,43 F,37 F,81 %,NW,9 mph,0 mph,30.4 in,1-1,1
4,2:00:00,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1-1,1
5,2:30:00,43 F,37 F,81 %,NW,8 mph,0 mph,30.3 in,1-1,1
6,3:00:00,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1-1,1
7,3:30:00,43 F,37 F,81 %,NW,10 mph,0 mph,30.3 in,1-1,1
8,4:00:00,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1-1,1
9,4:30:00,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1-1,1
10,5:00:00,41 F,36 F,81 %,NW,10 mph,0 mph,30.3 in,1-1,1
11,5:30:00,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1-1,1
12,6:00:00,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1-1,1
13,6:30:00,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1-1,1
14,7:00:00,41 F,36 F,81 %,NW,14 mph,0 mph,30.3 in,1-1,1
15,7:30:00,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1-1,1
16,8:00:00,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1-1,1
17,8:30:00,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1-1,1
18,9:00:00,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1-1,1
19,9:30:00,39 F,34 F,81 %,NNW,15 mph,0 mph,30.3 in,1-1,1
20,10:00:00,39 F,34 F,81 %,NW,13 mph,0 mph,30.3 in,1-1,1
21,10:30:00,41 F,34 F,76 %,NW,14 mph,0 mph,30.3 in,1-1,1
22,11:00:00,43 F,34 F,70 %,NNW,15 mph,0 mph,30.3 in,1-1,1
23,11:30:00,45 F,36 F,71 %,NNW,14 mph,0 mph,30.3 in,1-1,1
24,12:00:00,45 F,36 F,71 %,NW,10 mph,0 mph,30.3 in,1-1,1
25,24:00:00,46 F,36 F,66 %,NW,10 mph,0 mph,30.3 in,1-1,1
26,13:00:00,48 F,36 F,62 %,NW,9 mph,0 mph,30.3 in,1-1,1
27,13:00:00,48 F,37 F,66 %,NW,8 mph,0 mph,30.2 in,1-1,1
28,14:00:00,50 F,39 F,66 %,WNW,8 mph,0 mph,30.2 in,1-1,1
29,14:00:00,52 F,37 F,58 %,NW,6 mph,0 mph,30.2 in,1-1,1
30,15:00:00,52 F,39 F,62 %,W,3 mph,0 mph,30.2 in,1-1,1
31,15:00:00,54 F,39 F,58 %,WNW,5 mph,0 mph,30.2 in,1-1,1
32,16:00:00,54 F,45 F,72 %,NW,3 mph,0 mph,30.2 in,1-1,1
33,16:00:00,54 F,45 F,72 %,WNW,3 mph,0 mph,30.2 in,1-1,1
34,17:00:00,52 F,45 F,76 %,WSW,12 mph,0 mph,30.2 in,1-1,1
35,17:00:00,52 F,45 F,76 %,SW,10 mph,0 mph,30.2 in,1-1,1
36,18:00:00,50 F,45 F,82 %,WSW,9 mph,0 mph,30.2 in,1-1,1
37,18:00:00,48 F,43 F,82 %,WNW,5 mph,0 mph,30.2 in,1-1,1
38,19:00:00,46 F,37 F,71 %,NW,6 mph,0 mph,30.2 in,1-1,1
39,19:00:00,46 F,37 F,71 %,NW,7 mph,0 mph,30.2 in,1-1,1
40,20:00:00,46 F,37 F,71 %,NW,8 mph,0 mph,30.2 in,1-1,1
41,20:00:00,45 F,37 F,76 %,NNW,9 mph,0 mph,30.2 in,1-1,1
42,21:00:00,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1-1,1
43,21:00:00,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1-1,1
44,22:00:00,43 F,36 F,76 %,NW,9 mph,0 mph,30.2 in,1-1,1
45,22:00:00,43 F,36 F,76 %,NW,12 mph,0 mph,30.2 in,1-1,1
46,23:00:00,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1-1,1
47,23:00:00,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1-1,1
48,00:00:00,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,1-2,0
49,12:30:00,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,1-2,0
50,1:00:00,39 F,32 F,75 %,NW,13 mph,0 mph,30.2 in,1-2,0
51,1:30:00,39 F,32 F,75 %,NW,13 mph,0 mph,30.2 in,1-2,0
52,2:00:00,39 F,32 F,75 %,NNW,15 mph,0 mph,30.2 in,1-2,0
53,2:30:00,39 F,32 F,75 %,NNW,14 mph,0 mph,30.2 in,1-2,0
54,3:00:00,39 F,32 F,75 %,NNW,14 mph,0 mph,30.2 in,1-2,0
55,3:30:00,37 F,32 F,81 %,NNW,15 mph,0 mph,30.2 in,1-2,0
56,4:00:00,37 F,32 F,81 %,NNW,16 mph,0 mph,30.2 in,1-2,0
57,4:30:00,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1-2,0
58,5:00:00,37 F,32 F,81 %,NNW,14 mph,0 mph,30.2 in,1-2,0
