,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday,Datetime
0,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1,2017-01-01 00:00:00
1,45 F,39 F,81 %,NW,9 mph,0 mph,30.4 in,1,2017-01-01 00:00:00
2,43 F,37 F,81 %,NW,10 mph,0 mph,30.4 in,1,2017-01-01 01:00:00
3,43 F,37 F,81 %,NW,9 mph,0 mph,30.4 in,1,2017-01-01 01:30:00
4,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1,2017-01-01 02:00:00
5,43 F,37 F,81 %,NW,8 mph,0 mph,30.3 in,1,2017-01-01 02:30:00
6,43 F,37 F,81 %,NW,9 mph,0 mph,30.3 in,1,2017-01-01 03:00:00
7,43 F,37 F,81 %,NW,10 mph,0 mph,30.3 in,1,2017-01-01 03:30:00
8,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1,2017-01-01 04:00:00
9,41 F,36 F,81 %,NW,9 mph,0 mph,30.3 in,1,2017-01-01 04:30:00
10,41 F,36 F,81 %,NW,10 mph,0 mph,30.3 in,1,2017-01-01 05:00:00
11,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1,2017-01-01 05:30:00
12,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1,2017-01-01 06:00:00
13,41 F,36 F,81 %,NW,12 mph,0 mph,30.3 in,1,2017-01-01 06:30:00
14,41 F,36 F,81 %,NW,14 mph,0 mph,30.3 in,1,2017-01-01 07:00:00
15,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1,2017-01-01 07:30:00
16,39 F,34 F,81 %,NNW,14 mph,0 mph,30.3 in,1,2017-01-01 08:00:00
17,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-01 08:30:00
18,37 F,34 F,87 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-01 09:00:00
19,39 F,34 F,81 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-01 09:30:00
20,39 F,34 F,81 %,NW,13 mph,0 mph,30.3 in,1,2017-01-01 10:00:00
21,41 F,34 F,76 %,NW,14 mph,0 mph,30.3 in,1,2017-01-01 10:30:00
22,43 F,34 F,70 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-01 11:00:00
23,45 F,36 F,71 %,NNW,14 mph,0 mph,30.3 in,1,2017-01-01 11:30:00
24,45 F,36 F,71 %,NW,10 mph,0 mph,30.3 in,1,2017-01-01 12:00:00
25,46 F,36 F,66 %,NW,10 mph,0 mph,30.3 in,1,2017-01-01 12:00:00
26,48 F,36 F,62 %,NW,9 mph,0 mph,30.3 in,1,2017-01-01 13:00:00
27,48 F,37 F,66 %,NW,8 mph,0 mph,30.2 in,1,2017-01-01 13:00:00
28,50 F,39 F,66 %,WNW,8 mph,0 mph,30.2 in,1,2017-01-01 14:00:00
29,52 F,37 F,58 %,NW,6 mph,0 mph,30.2 in,1,2017-01-01 14:00:00
30,52 F,39 F,62 %,W,3 mph,0 mph,30.2 in,1,2017-01-01 15:00:00
31,54 F,39 F,58 %,WNW,5 mph,0 mph,30.2 in,1,2017-01-01 15:00:00
32,54 F,45 F,72 %,NW,3 mph,0 mph,30.2 in,1,2017-01-01 16:00:00
33,54 F,45 F,72 %,WNW,3 mph,0 mph,30.2 in,1,2017-01-01 16:00:00
34,52 F,45 F,76 %,WSW,12 mph,0 mph,30.2 in,1,2017-01-01 17:00:00
35,52 F,45 F,76 %,SW,10 mph,0 mph,30.2 in,1,2017-01-01 17:00:00
36,50 F,45 F,82 %,WSW,9 mph,0 mph,30.2 in,1,2017-01-01 18:00:00
37,48 F,43 F,82 %,WNW,5 mph,0 mph,30.2 in,1,2017-01-01 18:00:00
38,46 F,37 F,71 %,NW,6 mph,0 mph,30.2 in,1,2017-01-01 19:00:00
39,46 F,37 F,71 %,NW,7 mph,0 mph,30.2 in,1,2017-01-01 19:00:00
40,46 F,37 F,71 %,NW,8 mph,0 mph,30.2 in,1,2017-01-01 20:00:00
41,45 F,37 F,76 %,NNW,9 mph,0 mph,30.2 in,1,2017-01-01 20:00:00
42,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1,2017-01-01 21:00:00
43,45 F,37 F,76 %,NW,8 mph,0 mph,30.2 in,1,2017-01-01 21:00:00
44,43 F,36 F,76 %,NW,9 mph,0 mph,30.2 in,1,2017-01-01 22:00:00
45,43 F,36 F,76 %,NW,12 mph,0 mph,30.2 in,1,2017-01-01 22:00:00
46,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1,2017-01-01 23:00:00
47,41 F,34 F,76 %,NNW,12 mph,0 mph,30.2 in,1,2017-01-01 23:00:00
48,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,0,2017-01-02 00:00:00
49,41 F,34 F,76 %,NW,12 mph,0 mph,30.2 in,0,2017-01-02 00:00:00
